word1	word2	pos	context1	context2	similarity
teacher	instructor	N	The teacher appeared suddenly.	The instructor was very interesting to observe.	0.925
movie	film	N	The movie is commonly found in nature.	The film appeared suddenly.	0.8869999999999999
bird	hawk	N	The bird is commonly found in nature.	The hawk was very interesting to observe.	0.7849999999999999
word	dictionary	N	People often talk about the word.	I saw a dictionary yesterday at the park.	0.368
money	salary	N	The money was very interesting to observe.	People often talk about the salary.	0.788
dog	cat	N	The dog appeared suddenly.	I saw a cat yesterday at the park.	0.175
area	region	N	The area appeared suddenly.	The region appeared suddenly.	0.9470000000000001
navy	army	N	People often talk about the navy.	The army was very interesting to observe.	0.643
book	literature	N	The book was very interesting to observe.	The literature was very interesting to observe.	0.753
clothes	closet	N	People often talk about the clothes.	The closet appeared suddenly.	0.327
sunset	sunrise	N	The sunset was very interesting to observe.	The sunrise was very interesting to observe.	0.24700000000000003
child	adult	N	People often talk about the child.	The adult appeared suddenly.	0.298
cow	cattle	N	People often talk about the cow.	People often talk about the cattle.	0.952
book	story	N	I saw a book yesterday at the park.	I saw a story yesterday at the park.	0.563
winter	summer	N	The winter was very interesting to observe.	People often talk about the summer.	0.238
taxi	cab	N	People often talk about the taxi.	The cab is commonly found in nature.	0.9199999999999999
tree	maple	N	People often talk about the tree.	People often talk about the maple.	0.553
bed	bedroom	N	The bed was very interesting to observe.	I saw a bedroom yesterday at the park.	0.33999999999999997
roof	ceiling	N	People often talk about the roof.	I saw a ceiling yesterday at the park.	0.758
disease	infection	N	The disease was very interesting to observe.	People often talk about the infection.	0.7150000000000001
arm	shoulder	N	I saw a arm yesterday at the park.	The shoulder appeared suddenly.	0.485
sheep	lamb	N	I saw a sheep yesterday at the park.	People often talk about the lamb.	0.842
lady	gentleman	N	I saw a lady yesterday at the park.	The gentleman was very interesting to observe.	0.34199999999999997
boat	anchor	N	I saw a boat yesterday at the park.	The anchor was very interesting to observe.	0.225
priest	monk	N	The priest was very interesting to observe.	The monk appeared suddenly.	0.628
toe	finger	N	The toe is commonly found in nature.	People often talk about the finger.	0.46799999999999997
river	stream	N	I saw a river yesterday at the park.	The stream was very interesting to observe.	0.73
anger	fury	N	The anger is commonly found in nature.	The fury appeared suddenly.	0.873
date	calendar	N	The date appeared suddenly.	The calendar is commonly found in nature.	0.442
sea	ocean	N	The sea is commonly found in nature.	The ocean was very interesting to observe.	0.827
second	minute	N	The second is commonly found in nature.	The minute was very interesting to observe.	0.462
hand	thumb	N	The hand appeared suddenly.	People often talk about the thumb.	0.388
wood	log	N	The wood appeared suddenly.	The log appeared suddenly.	0.73
mud	dirt	N	The mud was very interesting to observe.	The dirt was very interesting to observe.	0.732
hallway	corridor	N	I saw a hallway yesterday at the park.	I saw a corridor yesterday at the park.	0.9279999999999999
way	manner	N	I saw a way yesterday at the park.	The manner is commonly found in nature.	0.762
mouse	cat	N	People often talk about the mouse.	The cat was very interesting to observe.	0.11200000000000002
cop	sheriff	N	I saw a cop yesterday at the park.	The sheriff is commonly found in nature.	0.905
death	burial	N	People often talk about the death.	I saw a burial yesterday at the park.	0.493
music	melody	N	The music was very interesting to observe.	People often talk about the melody.	0.6980000000000001
beer	alcohol	N	The beer was very interesting to observe.	I saw a alcohol yesterday at the park.	0.75
mouth	lip	N	I saw a mouth yesterday at the park.	People often talk about the lip.	0.71
storm	hurricane	N	I saw a storm yesterday at the park.	The hurricane appeared suddenly.	0.638
tax	income	N	The tax was very interesting to observe.	The income is commonly found in nature.	0.238
flower	violet	N	The flower is commonly found in nature.	I saw a violet yesterday at the park.	0.6950000000000001
paper	cardboard	N	The paper was very interesting to observe.	I saw a cardboard yesterday at the park.	0.538
floor	ceiling	N	The floor appeared suddenly.	I saw a ceiling yesterday at the park.	0.173
beach	seashore	N	The beach was very interesting to observe.	I saw a seashore yesterday at the park.	0.833
rod	curtain	N	The rod was very interesting to observe.	People often talk about the curtain.	0.303
hound	fox	N	The hound is commonly found in nature.	I saw a fox yesterday at the park.	0.238
street	alley	N	The street appeared suddenly.	The alley appeared suddenly.	0.548
boat	deck	N	The boat was very interesting to observe.	The deck was very interesting to observe.	0.42800000000000005
car	horn	N	The car appeared suddenly.	I saw a horn yesterday at the park.	0.257
friend	guest	N	I saw a friend yesterday at the park.	The guest is commonly found in nature.	0.425
employer	employee	N	The employer is commonly found in nature.	The employee appeared suddenly.	0.365
hand	wrist	N	I saw a hand yesterday at the park.	People often talk about the wrist.	0.397
ball	cannon	N	The ball is commonly found in nature.	The cannon is commonly found in nature.	0.258
alcohol	brandy	N	The alcohol is commonly found in nature.	The brandy was very interesting to observe.	0.6980000000000001
victory	triumph	N	The victory was very interesting to observe.	I saw a triumph yesterday at the park.	0.898
telephone	booth	N	The telephone was very interesting to observe.	I saw a booth yesterday at the park.	0.363
door	doorway	N	I saw a door yesterday at the park.	I saw a doorway yesterday at the park.	0.54
motel	inn	N	The motel was very interesting to observe.	The inn is commonly found in nature.	0.817
clothes	cloth	N	The clothes was very interesting to observe.	The cloth appeared suddenly.	0.5469999999999999
steak	meat	N	The steak is commonly found in nature.	People often talk about the meat.	0.747
nail	thumb	N	The nail is commonly found in nature.	The thumb is commonly found in nature.	0.355
band	orchestra	N	The band is commonly found in nature.	The orchestra appeared suddenly.	0.708
book	bible	N	I saw a book yesterday at the park.	The bible was very interesting to observe.	0.5
business	industry	N	The business is commonly found in nature.	I saw a industry yesterday at the park.	0.702
winter	season	N	The winter appeared suddenly.	The season was very interesting to observe.	0.627
decade	century	N	People often talk about the decade.	The century is commonly found in nature.	0.348
alcohol	gin	N	The alcohol was very interesting to observe.	The gin is commonly found in nature.	0.865
hat	coat	N	People often talk about the hat.	People often talk about the coat.	0.267
window	door	N	The window is commonly found in nature.	The door is commonly found in nature.	0.333
arm	wrist	N	The arm was very interesting to observe.	The wrist is commonly found in nature.	0.357
house	apartment	N	The house appeared suddenly.	The apartment was very interesting to observe.	0.58
glass	crystal	N	The glass was very interesting to observe.	I saw a crystal yesterday at the park.	0.627
wine	brandy	N	I saw a wine yesterday at the park.	The brandy is commonly found in nature.	0.515
creator	maker	N	The creator appeared suddenly.	The maker is commonly found in nature.	0.962
dinner	breakfast	N	I saw a dinner yesterday at the park.	The breakfast appeared suddenly.	0.333
arm	muscle	N	The arm was very interesting to observe.	The muscle appeared suddenly.	0.372
bubble	suds	N	People often talk about the bubble.	The suds is commonly found in nature.	0.857
bread	flour	N	The bread is commonly found in nature.	People often talk about the flour.	0.333
death	tragedy	N	I saw a death yesterday at the park.	The tragedy was very interesting to observe.	0.58
absence	presence	N	The absence is commonly found in nature.	People often talk about the presence.	0.04
gun	cannon	N	The gun appeared suddenly.	I saw a cannon yesterday at the park.	0.568
grass	blade	N	I saw a grass yesterday at the park.	The blade appeared suddenly.	0.457
ball	basket	N	The ball is commonly found in nature.	People often talk about the basket.	0.16699999999999998
hose	garden	N	The hose appeared suddenly.	The garden was very interesting to observe.	0.16699999999999998
boy	kid	N	People often talk about the boy.	The kid is commonly found in nature.	0.75
church	choir	N	The church was very interesting to observe.	People often talk about the choir.	0.29500000000000004
clothes	drawer	N	The clothes appeared suddenly.	The drawer was very interesting to observe.	0.302
tower	bell	N	The tower is commonly found in nature.	The bell is commonly found in nature.	0.19
father	parent	N	The father is commonly found in nature.	The parent appeared suddenly.	0.7070000000000001
school	grade	N	The school was very interesting to observe.	The grade is commonly found in nature.	0.442
parent	adult	N	The parent was very interesting to observe.	The adult appeared suddenly.	0.537
bar	jail	N	I saw a bar yesterday at the park.	I saw a jail yesterday at the park.	0.19
car	highway	N	People often talk about the car.	People often talk about the highway.	0.33999999999999997
dictionary	definition	N	The dictionary is commonly found in nature.	The definition was very interesting to observe.	0.625
door	cellar	N	The door appeared suddenly.	The cellar appeared suddenly.	0.197
army	legion	N	The army appeared suddenly.	People often talk about the legion.	0.595
metal	aluminum	N	The metal is commonly found in nature.	I saw a aluminum yesterday at the park.	0.725
chair	bench	N	The chair appeared suddenly.	I saw a bench yesterday at the park.	0.667
cloud	fog	N	The cloud is commonly found in nature.	The fog was very interesting to observe.	0.6
boy	son	N	The boy is commonly found in nature.	I saw a son yesterday at the park.	0.675
water	ice	N	The water was very interesting to observe.	People often talk about the ice.	0.647
bed	blanket	N	The bed was very interesting to observe.	The blanket was very interesting to observe.	0.302
attorney	lawyer	N	The attorney appeared suddenly.	The lawyer appeared suddenly.	0.9349999999999999
area	zone	N	The area is commonly found in nature.	People often talk about the zone.	0.833
business	company	N	People often talk about the business.	The company appeared suddenly.	0.9019999999999999
clothes	fabric	N	People often talk about the clothes.	I saw a fabric yesterday at the park.	0.587
sweater	jacket	N	The sweater was very interesting to observe.	People often talk about the jacket.	0.7150000000000001
money	capital	N	The money appeared suddenly.	The capital was very interesting to observe.	0.667
hand	foot	N	The hand was very interesting to observe.	I saw a foot yesterday at the park.	0.417
alcohol	cocktail	N	The alcohol was very interesting to observe.	The cocktail was very interesting to observe.	0.673
yard	inch	N	The yard appeared suddenly.	The inch is commonly found in nature.	0.378
molecule	atom	N	The molecule appeared suddenly.	The atom was very interesting to observe.	0.645
lens	camera	N	The lens is commonly found in nature.	The camera appeared suddenly.	0.42800000000000005
meal	dinner	N	People often talk about the meal.	I saw a dinner yesterday at the park.	0.7150000000000001
eye	tear	N	I saw a eye yesterday at the park.	The tear is commonly found in nature.	0.355
god	devil	N	The god appeared suddenly.	The devil is commonly found in nature.	0.18
loop	belt	N	The loop appeared suddenly.	People often talk about the belt.	0.31
rat	mouse	N	The rat was very interesting to observe.	The mouse was very interesting to observe.	0.778
motor	engine	N	People often talk about the motor.	The engine was very interesting to observe.	0.865
car	cab	N	People often talk about the car.	I saw a cab yesterday at the park.	0.742
cat	lion	N	The cat appeared suddenly.	The lion appeared suddenly.	0.675
size	magnitude	N	I saw a size yesterday at the park.	The magnitude appeared suddenly.	0.633
reality	fantasy	N	The reality is commonly found in nature.	I saw a fantasy yesterday at the park.	0.10300000000000001
door	gate	N	The door was very interesting to observe.	People often talk about the gate.	0.525
cat	pet	N	I saw a cat yesterday at the park.	The pet is commonly found in nature.	0.595
tin	aluminum	N	The tin was very interesting to observe.	People often talk about the aluminum.	0.642
bone	jaw	N	The bone is commonly found in nature.	People often talk about the jaw.	0.417
cereal	wheat	N	I saw a cereal yesterday at the park.	I saw a wheat yesterday at the park.	0.375
house	key	N	The house was very interesting to observe.	People often talk about the key.	0.19
blood	flesh	N	The blood is commonly found in nature.	The flesh was very interesting to observe.	0.42800000000000005
door	corridor	N	The door is commonly found in nature.	I saw a corridor yesterday at the park.	0.373
god	spirit	N	The god was very interesting to observe.	People often talk about the spirit.	0.73
capability	competence	N	I saw a capability yesterday at the park.	The competence is commonly found in nature.	0.762
abundance	plenty	N	People often talk about the abundance.	I saw a plenty yesterday at the park.	0.897
sofa	chair	N	The sofa was very interesting to observe.	The chair is commonly found in nature.	0.667
wall	brick	N	People often talk about the wall.	The brick appeared suddenly.	0.46799999999999997
horn	drum	N	The horn is commonly found in nature.	The drum was very interesting to observe.	0.268
organ	liver	N	People often talk about the organ.	I saw a liver yesterday at the park.	0.615
strength	might	N	The strength was very interesting to observe.	The might was very interesting to observe.	0.7070000000000001
phrase	word	N	The phrase appeared suddenly.	People often talk about the word.	0.548
band	parade	N	I saw a band yesterday at the park.	People often talk about the parade.	0.392
stomach	waist	N	The stomach was very interesting to observe.	I saw a waist yesterday at the park.	0.5900000000000001
cloud	storm	N	The cloud is commonly found in nature.	The storm is commonly found in nature.	0.5599999999999999
joy	pride	N	People often talk about the joy.	I saw a pride yesterday at the park.	0.5
noise	rattle	N	The noise appeared suddenly.	The rattle appeared suddenly.	0.617
rain	mist	N	The rain is commonly found in nature.	I saw a mist yesterday at the park.	0.597
beer	beverage	N	The beer is commonly found in nature.	The beverage appeared suddenly.	0.542
man	uncle	N	The man appeared suddenly.	The uncle was very interesting to observe.	0.392
apple	juice	N	The apple was very interesting to observe.	The juice was very interesting to observe.	0.288
intelligence	logic	N	The intelligence appeared suddenly.	The logic was very interesting to observe.	0.65
communication	language	N	The communication is commonly found in nature.	The language was very interesting to observe.	0.747
mink	fur	N	The mink appeared suddenly.	I saw a fur yesterday at the park.	0.683
mob	crowd	N	The mob is commonly found in nature.	The crowd was very interesting to observe.	0.7849999999999999
shore	coast	N	The shore was very interesting to observe.	The coast was very interesting to observe.	0.883
wire	cord	N	People often talk about the wire.	The cord is commonly found in nature.	0.762
bird	turkey	N	I saw a bird yesterday at the park.	People often talk about the turkey.	0.658
bed	crib	N	People often talk about the bed.	People often talk about the crib.	0.73
competence	ability	N	I saw a competence yesterday at the park.	I saw a ability yesterday at the park.	0.75
cloud	haze	N	People often talk about the cloud.	The haze was very interesting to observe.	0.732
supper	meal	N	The supper was very interesting to observe.	I saw a meal yesterday at the park.	0.753
bar	cage	N	The bar appeared suddenly.	People often talk about the cage.	0.27999999999999997
water	salt	N	I saw a water yesterday at the park.	The salt appeared suddenly.	0.13
sense	intuition	N	People often talk about the sense.	The intuition was very interesting to observe.	0.768
situation	condition	N	The situation was very interesting to observe.	The condition was very interesting to observe.	0.658
crime	theft	N	The crime was very interesting to observe.	The theft is commonly found in nature.	0.753
style	fashion	N	The style is commonly found in nature.	The fashion was very interesting to observe.	0.85
boundary	border	N	People often talk about the boundary.	I saw a border yesterday at the park.	0.908
arm	body	N	The arm was very interesting to observe.	People often talk about the body.	0.40499999999999997
boat	car	N	People often talk about the boat.	The car was very interesting to observe.	0.23700000000000002
sandwich	lunch	N	People often talk about the sandwich.	The lunch appeared suddenly.	0.63
bride	princess	N	The bride appeared suddenly.	The princess is commonly found in nature.	0.27999999999999997
heroine	hero	N	The heroine appeared suddenly.	The hero appeared suddenly.	0.8779999999999999
car	gauge	N	I saw a car yesterday at the park.	People often talk about the gauge.	0.11299999999999999
insect	bee	N	The insect appeared suddenly.	I saw a bee yesterday at the park.	0.607
crib	cradle	N	The crib appeared suddenly.	The cradle is commonly found in nature.	0.8550000000000001
animal	person	N	The animal was very interesting to observe.	The person appeared suddenly.	0.305
marijuana	herb	N	The marijuana appeared suddenly.	The herb is commonly found in nature.	0.65
bed	hospital	N	The bed is commonly found in nature.	The hospital was very interesting to observe.	0.092
cheek	tongue	N	I saw a cheek yesterday at the park.	The tongue was very interesting to observe.	0.45199999999999996
disc	computer	N	The disc appeared suddenly.	The computer appeared suddenly.	0.32
curve	angle	N	I saw a curve yesterday at the park.	The angle was very interesting to observe.	0.333
grass	moss	N	The grass appeared suddenly.	The moss appeared suddenly.	0.5
school	law	N	People often talk about the school.	The law is commonly found in nature.	0.11299999999999999
foot	head	N	The foot is commonly found in nature.	The head appeared suddenly.	0.22999999999999998
mother	guardian	N	People often talk about the mother.	I saw a guardian yesterday at the park.	0.65
orthodontist	dentist	N	I saw a orthodontist yesterday at the park.	The dentist appeared suddenly.	0.827
alcohol	whiskey	N	I saw a alcohol yesterday at the park.	The whiskey was very interesting to observe.	0.727
mouth	tooth	N	The mouth was very interesting to observe.	The tooth was very interesting to observe.	0.63
breakfast	bacon	N	The breakfast was very interesting to observe.	People often talk about the bacon.	0.437
bathroom	bedroom	N	The bathroom was very interesting to observe.	People often talk about the bedroom.	0.33999999999999997
plate	bowl	N	People often talk about the plate.	People often talk about the bowl.	0.523
meat	bacon	N	The meat was very interesting to observe.	The bacon appeared suddenly.	0.58
air	helium	N	The air appeared suddenly.	The helium was very interesting to observe.	0.363
worker	employer	N	The worker is commonly found in nature.	The employer appeared suddenly.	0.537
body	chest	N	The body was very interesting to observe.	The chest appeared suddenly.	0.445
son	father	N	I saw a son yesterday at the park.	The father is commonly found in nature.	0.382
heart	surgery	N	The heart was very interesting to observe.	The surgery is commonly found in nature.	0.10800000000000001
woman	secretary	N	The woman was very interesting to observe.	The secretary appeared suddenly.	0.198
man	father	N	People often talk about the man.	People often talk about the father.	0.483
beach	island	N	The beach appeared suddenly.	The island appeared suddenly.	0.5599999999999999
story	topic	N	The story appeared suddenly.	I saw a topic yesterday at the park.	0.5
game	fun	N	The game was very interesting to observe.	The fun appeared suddenly.	0.34199999999999997
weekend	week	N	I saw a weekend yesterday at the park.	I saw a week yesterday at the park.	0.4
couple	pair	N	I saw a couple yesterday at the park.	The pair appeared suddenly.	0.833
woman	wife	N	The woman appeared suddenly.	The wife was very interesting to observe.	0.572
sheep	cattle	N	People often talk about the sheep.	People often talk about the cattle.	0.477
purse	bag	N	The purse appeared suddenly.	The bag appeared suddenly.	0.833
ceiling	cathedral	N	The ceiling was very interesting to observe.	The cathedral was very interesting to observe.	0.242
bean	coffee	N	The bean appeared suddenly.	The coffee appeared suddenly.	0.515
wood	paper	N	The wood was very interesting to observe.	The paper appeared suddenly.	0.288
top	side	N	People often talk about the top.	The side was very interesting to observe.	0.19
crime	fraud	N	The crime appeared suddenly.	People often talk about the fraud.	0.5650000000000001
pain	harm	N	The pain was very interesting to observe.	The harm appeared suddenly.	0.538
lover	companion	N	The lover appeared suddenly.	The companion was very interesting to observe.	0.597
evening	dusk	N	People often talk about the evening.	The dusk was very interesting to observe.	0.778
father	daughter	N	The father is commonly found in nature.	The daughter was very interesting to observe.	0.262
wine	liquor	N	The wine appeared suddenly.	The liquor appeared suddenly.	0.7849999999999999
cow	goat	N	People often talk about the cow.	People often talk about the goat.	0.29300000000000004
belief	opinion	N	The belief was very interesting to observe.	The opinion is commonly found in nature.	0.77
reality	illusion	N	People often talk about the reality.	The illusion was very interesting to observe.	0.142
pact	agreement	N	The pact was very interesting to observe.	People often talk about the agreement.	0.9019999999999999
wealth	poverty	N	People often talk about the wealth.	I saw a poverty yesterday at the park.	0.127
accident	emergency	N	I saw a accident yesterday at the park.	People often talk about the emergency.	0.493
battle	conquest	N	The battle was very interesting to observe.	The conquest is commonly found in nature.	0.722
friend	teacher	N	The friend was very interesting to observe.	The teacher is commonly found in nature.	0.262
illness	infection	N	People often talk about the illness.	The infection appeared suddenly.	0.6900000000000001
game	trick	N	The game was very interesting to observe.	I saw a trick yesterday at the park.	0.23199999999999998
brother	son	N	People often talk about the brother.	The son appeared suddenly.	0.348
aunt	nephew	N	I saw a aunt yesterday at the park.	The nephew is commonly found in nature.	0.31
worker	mechanic	N	The worker appeared suddenly.	I saw a mechanic yesterday at the park.	0.492
doctor	orthodontist	N	The doctor is commonly found in nature.	People often talk about the orthodontist.	0.558
oak	maple	N	I saw a oak yesterday at the park.	The maple is commonly found in nature.	0.603
bee	queen	N	I saw a bee yesterday at the park.	The queen was very interesting to observe.	0.327
car	bicycle	N	People often talk about the car.	I saw a bicycle yesterday at the park.	0.34700000000000003
goal	quest	N	The goal is commonly found in nature.	The quest is commonly found in nature.	0.583
august	month	N	People often talk about the august.	People often talk about the month.	0.553
army	squad	N	The army is commonly found in nature.	The squad appeared suddenly.	0.508
cloud	weather	N	The cloud was very interesting to observe.	The weather appeared suddenly.	0.487
physician	doctor	N	I saw a physician yesterday at the park.	I saw a doctor yesterday at the park.	0.8880000000000001
canyon	valley	N	I saw a canyon yesterday at the park.	People often talk about the valley.	0.675
